Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	REF-ID	Phonetic Transcription-cp	Original Transcription (Richard Griscom)-cp	Original Transcription (Yonah Ndege)-cp	Translation	
00:51:26.889	3086.889	00:51:27.799	3087.799	00:00:00.910	0.91	2018-07-26_Omaiyo_4_161	kàùdrágè	hàùrágè	haworage	fetch s.th.
00:51:28.543	3088.543	00:51:29.205	3089.205	00:00:00.662	0.662	2018-07-26_Omaiyo_4_162	kàùdrágè	hàùrágè	haworage	fetch s.th.
00:51:29.721	3089.721	00:51:30.579	3090.579	00:00:00.858	0.858	2018-07-26_Omaiyo_4_163	kàùdrágè	hàùrágè	haworage	fetch s.th.
00:51:32.067	3092.067	00:51:32.925	3092.925	00:00:00.858	0.858	2018-07-26_Omaiyo_4_164	kàùdrágè	hàùrágè	haworage	fetch s.th.
00:51:47.767	3107.767	00:51:48.604	3108.604	00:00:00.837	0.837	2018-07-26_Omaiyo_4_165	kàùdrágè	hàùrágè	haworage	fetch s.th.
00:51:50.267	3110.267	00:51:51.208	3111.208	00:00:00.941	0.941	2018-07-26_Omaiyo_4_166	kàùdrágè	hàùrágè	haworage	fetch s.th.
00:51:52.117	3112.117	00:51:53.006	3113.006	00:00:00.889	0.889	2018-07-26_Omaiyo_4_167	kàùdrágè	hàùrágè	haworage	fetch s.th.
00:52:17.148	3137.148	00:52:18.140	3138.14	00:00:00.992	0.992	2018-07-26_Omaiyo_4_168	mádá	màrtá	maltha	fire
00:52:36.979	3156.979	00:52:38.887	3158.887	00:00:01.908	1.908	2018-07-26_Omaiyo_4_169	gòɲáʃì mádá	qɔ̀ɲàʃì màrtá	woyinyashu maltha	start a fire
00:53:05.164	3185.164	00:53:06.487	3186.487	00:00:01.323	1.323	2018-07-26_Omaiyo_4_170	ŋ̀gàrórédʒà	ǹqàrórèdʒá	ngararija maltha	put out a fire
00:53:07.464	3187.464	00:53:08.580	3188.58	00:00:01.116	1.116	2018-07-26_Omaiyo_4_171	ŋ̀gàrórédʒà	ǹqàrórèdʒá	ngararija maltha	put out a fire
00:53:10.677	3190.677	00:53:11.483	3191.483	00:00:00.806	0.806	2018-07-26_Omaiyo_4_172	ŋ̀gàrórédʒà	ǹqàrórèdʒá	ngararija maltha	put out a fire
00:53:12.341	3192.341	00:53:13.126	3193.126	00:00:00.785	0.785	2018-07-26_Omaiyo_4_173	ŋ̀gàrórédʒà	ǹqàrórèdʒá	ngararija maltha	put out a fire
00:57:24.900	3444.9	00:57:25.747	3445.747	00:00:00.847	0.847	2018-07-26_Omaiyo_4_174	náígwérí	nagweri	naygweri	name of the tribe
00:57:28.899	3448.899	00:57:29.943	3449.943	00:00:01.044	1.044	2018-07-26_Omaiyo_4_175	náígwérí	nagweri	naygweri	name of the tribe
00:57:34.903	3454.903	00:57:35.729	3455.729	00:00:00.826	0.826	2018-07-26_Omaiyo_4_176	náígwérí	nagweri	naygweri	name of the tribe
